#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,name,type
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T13:14:30Z,16.561692599592536,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T15:10:40Z,16.506228335492022,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T17:06:50Z,17.996259652174913,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T19:03:00Z,17.316092637869026,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T20:59:10Z,17.30339985389214,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-01T22:55:20Z,17.26637450242654,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T00:51:30Z,16.65588920147388,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T02:47:40Z,12.770071103022648,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T04:43:50Z,5.9922920573841445,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T06:40:00Z,6.364226839759133,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T08:36:10Z,6.893914405401651,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T10:32:20Z,11.348465593237625,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T12:28:30Z,11.687210156367374,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T14:24:40Z,10.215819680845582,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T16:20:50Z,12.160769114127525,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T18:17:00Z,14.986104174664145,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T20:13:10Z,15.956456716958579,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-02T22:09:20Z,16.151353530394726,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T00:05:30Z,16.34090300610191,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T02:01:40Z,14.599738009564287,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T03:57:50Z,13.452943529401507,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T05:54:00Z,14.323076113676413,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T07:50:10Z,14.782312504656904,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T09:46:20Z,12.252652351672833,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T11:42:30Z,13.093175398838984,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T13:38:40Z,12.117466876381322,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T15:34:50Z,8.365671230687035,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-03T17:31:00Z,10.23076844215393,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T01:15:40Z,13.99889645576477,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T03:11:50Z,11.5279317829344,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T05:08:00Z,14.505267288233783,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T07:04:10Z,14.645114152859419,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T09:00:20Z,14.20439015425645,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T10:56:30Z,14.08339044210073,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T12:52:40Z,14.054288888906504,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T14:48:50Z,13.544097254150792,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-04T16:45:00Z,13.92650545835495,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T00:29:40Z,12.881722005208333,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T02:25:50Z,14.76107654816065,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T04:22:00Z,14.420525587998428,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T06:18:10Z,14.88147016575462,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T08:14:20Z,15.209254958412863,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T10:10:30Z,13.488984755980663,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T12:06:40Z,12.599463095536104,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T14:02:50Z,8.538917254178951,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T15:59:00Z,14.675589425223214,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T17:55:10Z,12.753578338867579,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T19:51:20Z,13.09414783081451,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T21:47:30Z,13.810075408533999,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-05T23:43:40Z,14.027890572181114,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T01:39:50Z,8.326734019564343,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T03:36:00Z,8.297498580736992,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T05:32:10Z,12.659842422133998,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T07:28:20Z,12.746861190795899,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T09:24:30Z,12.619869293310703,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T11:20:40Z,12.15233564376831,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T13:16:50Z,12.581427708650248,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T15:13:00Z,8.322335630655289,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T17:09:10Z,1.1032138772499867,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T19:05:20Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T21:01:30Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-06T22:57:40Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-07T00:53:50Z,0.05806007555552891,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-07T02:50:00Z,0.5588571169437506,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-07T04:46:10Z,12.341762319787756,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-07T06:42:20Z,12.591172218322754,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-06-01T12:31:40Z,2021-06-30T13:31:40Z,2021-06-07T08:38:30Z,12.781494252093427,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
