#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,name,type
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-01T14:05:10Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-01T16:05:20Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-01T18:05:30Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-01T20:05:40Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-01T22:05:50Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T00:06:00Z,0,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T02:06:10Z,4.870469346642494,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T04:06:20Z,9.51302587389946,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T06:06:30Z,10.504464542865753,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T08:06:40Z,10.115292984247208,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T10:06:50Z,7.29992287370223,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T12:07:00Z,7.235934048523138,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T14:07:10Z,5.3904085725545885,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T16:07:20Z,3.2608274579048158,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T18:07:30Z,2.6647855222225187,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T20:07:40Z,2.723357662369933,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-02T22:07:50Z,2.772774338722229,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T00:08:00Z,2.748776472067531,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T02:08:10Z,7.291507905042624,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T04:08:20Z,12.609330719709396,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T06:08:30Z,14.418938389530888,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T08:08:40Z,15.227577185630798,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T10:08:50Z,13.63500935518289,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T12:09:00Z,11.892394363880157,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T14:09:10Z,7.612659564614296,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T16:09:20Z,6.225926607847214,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T18:09:30Z,8.876333767175675,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T20:09:40Z,10.049846920786024,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-03T22:09:50Z,11.273789495229721,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T00:10:00Z,11.06402619679769,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T02:10:10Z,10.287720575928688,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T04:10:20Z,16.279593201060045,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T06:10:30Z,18.33108878135681,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T08:10:40Z,17.755242788791655,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T10:10:50Z,16.738020730018615,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T12:11:00Z,17.334453725814818,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T14:11:10Z,15.647787582874297,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T16:11:20Z,15.541566848754883,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T18:11:30Z,15.143300247192382,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T20:11:40Z,15.555554914474488,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-04T22:11:50Z,15.004438400268555,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T00:12:00Z,14.688769745826722,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T02:12:10Z,16.2877937912941,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T04:12:20Z,16.68552392645727,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T06:12:30Z,15.890920674800872,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T08:12:40Z,16.2811210302659,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T10:12:50Z,12.683064514398575,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T12:13:00Z,12.117508095502853,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T14:13:10Z,12.845260289311408,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
,,0,2021-05-01T12:31:40Z,2021-05-31T13:31:40Z,2021-05-05T16:13:20Z,14.717479407787323,Current B Phase,modbus,ubuntu,Energymeter 4,holding_register
